model	accuracy	EER
ResNet	0.8837209343910217	0.09854874584333502
Pitch 4	0.59675550405562	0.400950252152657
Pitch 8	0.4380069524913094	0.47036105177387744
Pitch 10	0.4380069524913094	0.4507256270783325
Pitch 12	0.4380069524913094	0.4473479926886741
Pitch 16	0.44380069524913096	0.434467836772446
PPG 4	0.6280417149478563	0.3545525116166399
PPG 8	0.6303592120509849	0.32203693100486686
PPG 10	0.7358053302433372	0.27226155607919134
PPG 12	0.7659327925840093	0.23874397145940232
PPG 16	0.7288528389339514	0.27226155607919134
PLP 4	0.7369640787949016	0.26313065691823206
PLP 8	0.7404403244495944	0.24449723623070316
PLP 10	0.7334878331402086	0.24449723623070316
PLP 12	0.7415990730011588	0.2526261313836464
PLP 16	0.6906141367323291	0.2665082913078905
PLP DD 4	0.7137891077636153	0.27226155607919134
PLP DD 8	0.7288528389339514	0.25025050100200397
PLP DD 10	0.7381228273464658	0.24212160584906076
PLP DD 12	0.7427578215527231	0.22823944592481665
PLP DD 16	0.7358053302433372	0.24111960184104472
MFCC 4	0.7404403244495944	0.2526261313836464
MFCC 8	0.7415990730011588	0.2468728666123456
MFCC 10	0.7427578215527231	0.24212160584906076
MFCC 12	0.7450753186558516	0.22248618115351582
MFCC 16	0.7207415990730012	0.2468728666123456
MFCC DD 4	0.6987253765932793	0.28614371600343547
MFCC DD 8	0.7230590961761297	0.22011055077187341
MFCC DD 10	0.7334878331402086	0.25600376577330486
MFCC DD 12	0.7311703360370799	0.23061507630645908
MFCC DD 16	0.7346465816917729	0.23874397145940232
LTAS 4	0.6546929316338355	0.37893919707546964
LTAS 8	0.6361529548088065	0.34879924684533903
LTAS 10	0.6558516801853997	0.3105304014622652
LTAS 12	0.6210892236384704	0.3603057763879407
LTAS 16	0.5712630359212051	0.37318593230416874
